representation,query_genre,retrieved_genre,fraction
cnn_resnet_medium,Pop,Soul-RnB,0.012921348214149475
cnn_resnet_medium,Pop,Spoken,0.006741573102772236
cnn_resnet_medium,Rock,Blues,0.0031924883369356394
cnn_resnet_medium,Rock,Classical,0.002347417874261737
cnn_resnet_medium,Rock,Country,0.00929577462375164
cnn_resnet_medium,Rock,Easy Listening,0.0001877934264484793
cnn_resnet_medium,Rock,Electronic,0.060563381761312485
cnn_resnet_medium,Rock,Experimental,0.04685445874929428
cnn_resnet_medium,Rock,Folk,0.030140845105051994
cnn_resnet_medium,Rock,Hip-Hop,0.014084506779909134
cnn_resnet_medium,Rock,Instrumental,0.027699530124664307
cnn_resnet_medium,Rock,International,0.01370892021805048
cnn_resnet_medium,Rock,Jazz,0.010704224929213524
cnn_resnet_medium,Rock,Old-Time / Historic,0.0006572770071215928
cnn_resnet_medium,Rock,Pop,0.048732396215200424
cnn_resnet_medium,Rock,Rock,0.7233802676200867
cnn_resnet_medium,Rock,Soul-RnB,0.004694835748523474
cnn_resnet_medium,Rock,Spoken,0.0037558686453849077
cnn_resnet_medium,Soul-RnB,Blues,0.01304347813129425
cnn_resnet_medium,Soul-RnB,Classical,0.0
cnn_resnet_medium,Soul-RnB,Country,0.01304347813129425
cnn_resnet_medium,Soul-RnB,Easy Listening,0.004347825888544321
cnn_resnet_medium,Soul-RnB,Electronic,0.2130434811115265
cnn_resnet_medium,Soul-RnB,Experimental,0.03478260710835457
cnn_resnet_medium,Soul-RnB,Folk,0.08695652335882187
cnn_resnet_medium,Soul-RnB,Hip-Hop,0.0
